algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
AdaBoost,2.1,103,2,2730,8169,0.012593299,1.638312101,1.037992612,2.012923241,0.043738992,1.489494085,float64,0.960683761,0.893617021,0.802547771,0.845637584
Decision Tree,2.2,33,2,3900,2451,0.027051243,1.431260824,0.068482043,1.506253719,0.064430628,1.478885889,float64,0.963516746,0.872146119,0.852678571,0.862302483
SVM,2.2,15,22,3900,4084,0.018298203,1.467224598,0.530154528,1.9412148,0.303603111,1.687695265,float64,0.828349282,0.431965443,0.892857143,0.58224163
AdaBoost,2.2,112,1,3900,1633,0.026225678,1.454105854,0.24306708,1.780722857,0.093800057,1.514067888,float64,0.970095694,0.910377358,0.861607143,0.885321101
Bagging Classifier,2.2,138,6,3900,6535,0.027610354,1.476311207,0.699297537,2.067553043,0.056579515,1.496940136,float64,0.964114833,0.91,0.8125,0.858490566
Decision Tree,2.1,26,22,1559,8169,0.013896732,1.424705982,0.11487712,1.470057011,0.027513485,1.476809025,float64,0.958146487,0.87804878,0.8,0.837209302
KNN,2.1,65,9,1950,8169,0.010354214,1.449244022,0.009218586,1.412902832,0.096416905,1.5504179,float64,0.898325359,0.658823529,0.5,0.568527919
AdaBoost,2.1,102,11,3119,8169,0.01052337,1.467671156,0.58118374,2.168563128,0.071095681,1.495944977,float64,0.963378176,0.928104575,0.788888889,0.852852853
AdaBoost,2.2,114,6,3900,3268,0.026123666,1.45893383,0.407974137,1.93091774,0.067973371,1.499014139,float64,0.967703349,0.908653846,0.84375,0.875
Bagging Classifier,2.1,128,14,779,8169,0.010198529,1.425565004,0.092098608,1.525158167,0.023230256,1.44151783,float64,0.96119403,0.970588235,0.733333333,0.835443038
SVM,2.2,20,24,3900,8169,0.000555307,1.428891897,0.412242992,2.066956758,0.313685031,1.68701005,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.2,31,11,3900,817,0.024877701,1.447434902,0.041015141,1.485787868,0.053422206,1.515483141,float64,0.959330144,0.854545455,0.839285714,0.846846847
SVM,2.1,7,26,1169,8169,0.026270925,1.417084932,0.058212939,1.505413055,0.033324349,1.475754023,float64,0.832669323,0.437956204,0.895522388,0.588235294
KNN,2.1,68,19,779,8169,0.010093509,1.442481995,0.005217446,1.438255072,0.034339005,1.468041897,float64,0.898507463,0.657142857,0.511111111,0.575
Random Forest,2.2,95,18,3900,4084,0.018171367,1.453073978,1.060094386,2.804688692,0.118920386,1.544882059,float64,0.976076555,0.994623656,0.825892857,0.902439024
Random Forest,2.2,95,1,3900,4084,0.026880284,1.450737238,1.452568033,2.860515118,0.126073846,1.535513878,float64,0.977870813,1,0.834821429,0.909975669
Decision Tree,2.2,37,2,3900,5718,0.025609898,1.446009159,0.101313966,1.560016155,0.056791101,1.49464798,float64,0.963516746,0.872146119,0.852678571,0.862302483
Decision Tree,2.1,26,27,1559,8169,0.007314619,1.453704834,0.041750657,1.496450901,0.028049554,1.468388081,float64,0.956651719,0.896103896,0.766666667,0.826347305
SVM,2.1,10,6,3900,8169,0.000819289,1.436344147,0.636854008,2.05019021,0.34847568,1.693871021,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.1,1,9,3509,8169,0.007202721,1.439239025,0.501067002,1.892714024,0.188227258,1.660163164,float64,0.804651163,0.398678414,0.896039604,0.551829268
SVM,2.1,6,15,1559,8169,0.00955118,1.44667697,0.145870334,1.5304389,0.103416968,1.455156326,float64,0.828101644,0.435897436,0.944444444,0.596491228
KNN,2.1,70,11,3900,8169,0.001426267,1.392021894,0.027136356,1.450800896,0.266472678,1.737653017,float64,0.93361244,0.792746114,0.683035714,0.73381295
Random Forest,2.1,83,20,2730,8169,0.015251135,1.433135271,2.783056431,2.755737066,0.174927503,1.459677935,float64,0.975213675,1,0.815286624,0.898245614
Bagging Classifier,2.2,140,0,3900,8169,0.000567139,1.428892851,0.768241857,2.153790951,0.084213535,1.499306917,float64,0.96291866,0.905,0.808035714,0.853773585
Bagging Classifier,2.1,124,6,2340,8169,0.010171251,1.447242022,0.272035672,1.780730009,0.039077342,1.47588706,float64,0.949152542,0.867256637,0.731343284,0.793522267
AdaBoost,2.1,107,27,1169,8169,0.006684647,1.43780303,0.250211657,1.66856885,0.034589711,1.473510981,float64,0.960159363,0.873015873,0.820895522,0.846153846
Bagging Classifier,2.2,138,29,3900,6535,0.02603503,1.455143929,0.524558516,2.050294876,0.05768286,1.499655008,float64,0.96291866,0.905,0.808035714,0.853773585
Random Forest,2.2,100,24,3900,8169,0.000791497,1.414110899,1.873782731,3.357705832,0.078759961,1.532016039,float64,0.979665072,1,0.848214286,0.917874396
SVM,2.1,6,19,1559,8169,0.009824303,1.417738914,0.085305183,1.533826113,0.058786688,1.515583992,float64,0.828101644,0.435897436,0.944444444,0.596491228
SVM,2.2,18,6,3900,6535,0.027213164,1.464715004,0.485353699,2.002823114,0.253381475,1.696710825,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,84,28,2340,8169,0.010254011,1.423899174,1.062541349,2.465651274,0.06379889,1.481280088,float64,0.964107677,1,0.731343284,0.844827586
AdaBoost,2.2,120,12,3900,8169,0.000535637,1.435648203,0.694200157,2.368524075,0.066625532,1.511504173,float64,0.968301435,0.913043478,0.84375,0.877030162
Decision Tree,2.2,35,4,3900,4084,0.360834941,1.456880808,0.108921524,1.528841972,0.630453814,1.444621086,float64,0.962320574,0.877934272,0.834821429,0.85583524
AdaBoost,2.2,117,16,3900,5718,0.024654202,1.446668625,0.662746929,2.078736067,0.069879951,1.526754141,float64,0.969497608,0.913875598,0.852678571,0.88221709
Decision Tree,2.2,31,5,3900,817,0.02414536,1.452916861,0.055852556,1.49758625,0.068442885,1.48576498,float64,0.95992823,0.852017937,0.848214286,0.850111857
KNN,2.2,74,9,3900,3268,0.024995736,1.45370388,0.013597423,1.439247847,0.252453212,1.715400219,float64,0.868421053,1,0.017857143,0.035087719
